PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA,include?,Language1,Language2,Language3,Language4,within/between,materials,comments
J,"Rayner, K; Warren, T; Juhasz, BJ; Liversedge, SP",,,,"Rayner, K; Warren, T; Juhasz, BJ; Liversedge, SP",,,The effect of plausibility on eye movements in reading,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION,,,,,12th European Conference on Eye Movements,"AUG 20-24, 2003","Dundee, SCOTLAND",,,,,"Readers' eye movements were monitored as they read sentences describing events in which an individual performed an action with an implement. The noun phrase arguments of the verbs in the sentences were such that when thematic assignment occurred at the critical target word, the sentence was plausible (likely theme), implausible (unlikely theme), or anomalous (an inappropriate theme). Whereas the target word in the anomalous condition provided evidence of immediate disruption, the effect of the target word in the implausible condition was considerably delayed. The results thus indicate that when a word is anomalous, it has an immediate effect on eye movements, but that the effect of implausibility is not as immediate.",,,,,,,,,,,,,,,,,0278-7393,,,,,NOV,2004,30,6,,,,,1290,1301,,10.1037/0278-7393.30.6.1290,,,,,,,WOS:000224569400011,15521805,,,,,Yes,English,,,,,sentence,
J,"Rayner, K; Rotello, CM; Stewart, AJ; Keir, J; Duffy, SA",,,,"Rayner, K; Rotello, CM; Stewart, AJ; Keir, J; Duffy, SA",,,Integrating text and pictorial information: Eye movements when looking at print advertisements,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-APPLIED,,,,,,,,,,,,"Viewers looked at print Advertisements as their eye movements were recorded. Half of them were told to pay special attention to car ads, and the other half were told to pay special attention to skin-care ads. Viewers tended to spend more time looking at the text than the picture part of the ad, though they did spend more time looking At the type of ad they were instructed to pay attention to. Fixation durations and saccade lengths were both longer on the picture part of the ad than the text, but more fixations were made on the text regions. Viewers did not alternate fixations between the text and picture part of the ad, but they tended to read the large print, then the smaller print, and then they looked at the picture (although some viewers did an initial cursory scan of the picture). Implications for (a) how viewers integrate pictorial and textual information and (b) applied research and advertisement development are discussed.",,,,"Stewart, Andrew/D-4758-2009","Stewart, Andrew/0000-0002-9795-4104",,,,,,,,,,,,1076-898X,,,,,SEP,2001,7,3,,,,,219,226,,10.1037/1076-898X.7.3.219,,,,,,,WOS:000171572300005,11676100,,,,,Yes,English,,,,,advertisements,
J,"Perry, C; Ziegler, JC; Zorzi, M",,,,"Perry, Conrad; Ziegler, Johannes C.; Zorzi, Marco",,,Beyond single syllables: Large-scale modeling of reading aloud with the Connectionist Dual Process (CDP++) model,COGNITIVE PSYCHOLOGY,,,,,,,,,,,,"Most words in English have more than one syllable, yet the most influential computational models of reading aloud are restricted to processing monosyllabic words. Here, we present CDP++, a new version of the Connectionist Dual Process model (Perry, Ziegler, & Zorzi, 2007). CDP++ is able to simulate the reading aloud of mono- and disyllabic words and nonwords, and learns to assign stress in exactly the same way as it learns to associate graphemes with phonemes. CDP++ is able to simulate the monosyllabic benchmark effects its predecessor could, and therefore shows full backwards compatibility. CDP++ also accounts for a number of novel effects specific to disyllabic words, including the effects of stress regularity and syllable number. In terms of database performance, CDP++ accounts for over 49% of the reaction time variance on items selected from the English Lexicon Project, a very large database of several thousand of words. With its lexicon of over 32,000 words, CDP++ is therefore a notable example of the successful scaling-up of a connectionist model to a size that more realistically approximates the human lexical system. (C) 2010 Elsevier Inc. All rights reserved.",,,,"Zorzi, Marco/B-7863-2008; Perry, Conrad/B-6449-2009; Perry, Conrad/H-1126-2013; Ziegler, Johannes C./C-2234-2008","Zorzi, Marco/0000-0002-4651-6390; Ziegler, Johannes C./0000-0002-2061-5729",,,,,,,,,,,,0010-0285,1095-5623,,,,SEP,2010,61,2,,,,,106,151,,10.1016/j.cogpsych.2010.04.001,,,,,,,WOS:000282203600003,20510406,,,,,No,,,,,,,
J,"Legge, GE; Mansfield, JS; Chung, STL",,,,"Legge, GE; Mansfield, JS; Chung, STL",,,Psychophysics of reading XX. Linking letter recognition to reading speed in central and peripheral vision,VISION RESEARCH,,,,,,,,,,,,"Our goal is to link spatial and temporal properties of letter recognition to reading speed for text viewed centrally or in peripheral vision. We propose that the size of the visual span - the number of letters recognizable in a glance - imposes a fundamental limit on reading speed, and that shrinkage of the visual span in peripheral Vision accounts for slower peripheral reading. In Experiment 1, we estimated the size of the visual span in the lower visual field by measuring RSVP (rapid serial visual presentation) reading times as a function of word length. The size of the visual span decreased from at least 10 letters in central vision to 1.7 letters at 15 degrees eccentricity, in good agreement with the corresponding reduction of reading speed measured by Chung and coworkers (Chung, S. T. L., Mansfield, J. S., & Legge, G. E. (1998). Psychophysics of reading. XVIII. The effect of print size on reading speed in normal peripheral vision. Vision Research, 38, 2949-2962). In Exp. 2, we measured letter recognition for trigrams (random strings of three letters) as a function of their position on horizontal lines passing through fixation (central vision) or displaced downward into the lower Visual field (5, 10 and 20 degrees). We also varied trigram presentation time. We used these data to construct visual-span profiles of letter accuracy versus letter position. These profiles were used as input to a parameter-free model whose output was RSVP reading speed. A version of this model containing a simple lexical-matching rule accounted for RSVP reading speed in central vision. Failure of this version of the model in peripheral vision indicated that people rely more on lexical inference to support peripheral reading. We conclude that spatiotemporal characteristics of the visual span limit RSVP reading speed in central vision, and that shrinkage of the visual span results in slower reading in peripheral vision. (C) 2001 Elsevier Science Ltd. All rights reserved.",,,,,,,,,,,,,,,,,0042-6989,,,,,MAR,2001,41,6,,,,,725,743,,10.1016/S0042-6989(00)00295-9,,,,,,,WOS:000167799600005,11248262,,,,,Yes,English,,,,,words,RSVP
J,"Rayner, K; Chace, KH; Slattery, TJ; Ashby, J",,,,"Rayner, Keith; Chace, Kathryn H.; Slattery, Timothy J.; Ashby, Jane",,,Eye movements as reflections of comprehension processes in reading,SCIENTIFIC STUDIES OF READING,,,,,,,,,,,,"In this article, we discuss the use of eye movement data to assess moment-to-moment comprehension processes. We first review some basic characteristics of eye movements during reading and then present two studies in which eye movements are monitored to confirm that eye movements are sensitive to (a) global text passage difficulty and (b) inconsistencies in text. We demonstrate that processing times increased (and especially that the number of fixations increased) when text is difficult. When there is an inconsistency, readers fixated longer on the region where the inconsistency occurred. In both studies, the probability of making a regressive eye movement increased as well. Finally, we discuss the use of eye movement recording as a research tool to further study moment-to-moment comprehension processes and the possibility of using this tool in more applied school settings.",,,,,"Slattery, Timothy/0000-0002-2652-289X",,,,,,,,,,,,1088-8438,,,,,,2006,10,3,,,,,241,255,,10.1207/s1532799xssr1003_3,,,,,,,WOS:000239466000003,,,,,,Yes,English,,,,,texts,
J,"Gitelman, DR",,,,"Gitelman, DR",,,ILAB: A program for postexperimental eye movement analysis,BEHAVIOR RESEARCH METHODS INSTRUMENTS & COMPUTERS,,,,,,,,,,,,"The recording and analysis of eye movements are fundamental to a diverse set of research applications, including studies in which reading, visual search, and both overt and covert visuospatial attention are examined. Software tools supplied with commonly available eye-tracking equipment have generally been limited in-functionality and nonextensible. Because of this dearth of available software, ILAB was created to provide an extensible framework for analyzing various aspects of eye movements. The program consists of a series of open-source MATLAB functions. The program's data structures keep raw data, analysis preferences, and analyzed data separate, thus maintaining data fidelity and promoting extensibility.",,,,"Gitelman, Darren/W-9815-2019; Gitelman, Darren R/B-8292-2013","Gitelman, Darren/0000-0001-6057-5605; Gitelman, Darren R/0000-0001-6057-5605",,,,,,,,,,,,0743-3808,,,,,NOV,2002,34,4,,,,,605,612,,10.3758/BF03195488,,,,,,,WOS:000180608900015,12564563,,,,,No,,,,,,,
J,"Rayner, K; Reichle, ED; Stroud, MJ; Williams, CC; Pollatsek, A",,,,"Rayner, Keith; Reichle, Erik D.; Stroud, Michael J.; Williams, Carrick C.; Pollatsek, Alexander",,,"The effect of word frequency, word predictability, and font difficulty on the eye movements of young and older readers",PSYCHOLOGY AND AGING,,,,,,,,,,,,"Young adult and older readers' eye movements were recorded as they read sentences containing target words that varied in frequency or predictability. In addition, half of the sentences were printed in a font that was easy to read (Times New Roman) and the other half were printed in a font that was more difficult to read (Old English). Word frequency, word predictability, and font difficulty effects were apparent in the eye movement data of both groups of readers. In the fixation time data, the pattern of results was the same, but the older readers had larger frequency and predictability effects than the younger readers. The older readers skipped words more often than the younger readers (as indicated by their skipping rate on selected target words), but they made more regressions back to the target words and more regressions overall. The E-Z Reader model was used as a platform to evaluate the results, and simulations using the model suggest that lexical processing is slowed in older readers and that, possibly as a result of this, they adopt a more risky reading strategy.",,,,,"Reichle, Erik/0000-0003-3754-7619",,,,,,,,,,,,0882-7974,,,,,SEP,2006,21,3,,,,,448,465,,10.1037/0882-7974.21.3.448,,,,,,,WOS:000240456600002,16953709,,,,,Yes,English,,,,,sentence,
J,"Facoetti, A; Paganoni, P; Turatto, M; Marzola, V; Mascetti, GG",,,,"Facoetti, A; Paganoni, P; Turatto, M; Marzola, V; Mascetti, GG",,,Visual-spatial attention in developmental dyslexia,CORTEX,,,,,,,,,,,,"Orienting and focusing of visual attention are two processes strictly involved in reading. They were studied in a group of dyslexic children and normal readers. Shifting of attention by both peripheral and central visual cues was studied by means of the covert orienting paradigm. Focusing, consisting in the ability to control the size of the attentional focus, was investigated using simple reaction times in central vision. Results showed that dyslexics had a specific disability in the shifting of attention caused by a peripheral cue at short SOAs, and were also able to maintain attention focused for short periods of time only, presumably not long enough for efficient visual processing. Our results support the suggestion that visual selective attention deficits in disabled readers may be due to a specific difficulty in orienting and focusing.",,,,"Facoetti, Andrea/C-2876-2009",,,,,,,,,,,,,0010-9452,1973-8102,,,,FEB,2000,36,1,,,,,109,123,,10.1016/S0010-9452(08)70840-2,,,,,,,WOS:000085740800009,10728901,,,,,No,,,,,,,
J,"Sturt, P",,,,"Sturt, P",,,The time-course of the application of binding constraints in reference resolution,JOURNAL OF MEMORY AND LANGUAGE,,,,,,,,,,,,"We report two experiments which examined the role of binding theory in on-line sentence processing. Participants' eye movements were recorded while they read short texts which included anaphoric references with reflexive anaphors (himself or herself). In each of the experiments, two characters were introduced into the discourse before the anaphor, and only one of these characters was a grammatical antecedent for the anaphor in terms of binding theory. Both experiments showed that Principle A of the binding theory operates at the very earliest stages of processing; early eye-movement measures showed evidence of processing difficulty when the gender of the reflexive anaphor mismatched the stereotypical gender of the grammatical antecedent. However, the gender of the ungrammatical antecedent had no effect on early processing, although it affected processing during later stages in Experiment 1. An additional experiment showed that the gender of the ungrammatical antecedent also affected the likelihood of participants settling on an ungrammatical final interpretation. The results are interpreted in relation to the notions of bonding and resolution in reference processing. (C) 2002 Elsevier Science (USA). All rights reserved.",,,,"Sturt, Patrick/E-8496-2010","Sturt, Patrick/0000-0002-2055-6933",,,,,,,,,,,,0749-596X,,,,,APR,2003,48,3,,,,,542,562,,10.1016/S0749-596X(02)00536-3,,,,,,,WOS:000182161200006,,,,,,Yes,English,,,,,texts,
J,"Mak, WM; Vonk, W; Schriefers, H",,,,"Mak, WM; Vonk, W; Schriefers, H",,,The influence of animacy on relative clause processing,JOURNAL OF MEMORY AND LANGUAGE,,,,,,,,,,,,"In previous research it has been shown that subject relative clauses are easier to process than object relative clauses. Several theories have been proposed that explain the difference on are basis of different theoretical perspectives. However, previous research tested relative clauses only with animate protagonists. In a corpus study of Dutch and German newspaper texts, we show that animacy is an important determinant of the distribution of subject and object relative clauses. In two experiments in Dutch, in which the animacy of the object of the relative clause is varied. no difference in reading time is obtained between subject and object relative clauses when the object is inanimate. The experiments show that animacy influences the processing difficulty of relative clauses, These results can only be accounted for by Current major theories of relative clause processing when additional assumptions are introduced, and at the same time show that the possibility of semantically driven analysis can be considered as a serious alternative. (C) 2002 Elsevier Science (USA).",,,,"Schriefers, Herbert/D-8532-2012",,,,,,,,,,,,,0749-596X,,,,,JUL,2002,47,1,,,,,50,68,,10.1006/jmla.2001.2837,,,,,,,WOS:000176499800003,,,,,,No,,,,,,,
J,"Demberg, V; Keller, F",,,,"Demberg, Vera; Keller, Frank",,,Data from eye-tracking corpora as evidence for theories of syntactic processing complexity,COGNITION,,,,,,,,,,,,"We evaluate the predictions of two theories of syntactic processing complexity, dependency locality theory (DLT) and surprisal, against the Dundee Corpus, which contains the eye-tracking record of 10 participants reading 51,000 words of newspaper text. Our results show that DLT integration cost is not a significant predictor of reading times for arbitrary words in the corpus. However, DLT successfully predicts reading times for nouns. We also find evidence for integration cost effects at auxiliaries, not predicted by DLT. For surprisal, we demonstrate that an unlexicalized formulation of surprisal can predict reading times for arbitrary words in the corpus. Comparing DLT integration cost and surprisal, we find that the two measures are uncorrelated, which suggests that a complete theory will need to incorporate both aspects of processing complexity. We conclude that eye-tracking corpora, which provide reading time data for naturally occurring, contextualized sentences, can complement experimental evidence as a basis for theories of processing complexity. (c) 2008 Elsevier B.V. All rights reserved.",,,,,,,,,,,,,,,,,0010-0277,1873-7838,,,,NOV,2008,109,2,,,,,193,210,,10.1016/j.cognition.2008.07.008,,,,,,,WOS:000261756000002,18930455,,,,,Re-analysis,English,,,,,text,Dundee corpus analysis
J,"Reichle, ED; Reineberg, AE; Schooler, JW",,,,"Reichle, Erik D.; Reineberg, Andrew E.; Schooler, Jonathan W.",,,Eye Movements During Mindless Reading,PSYCHOLOGICAL SCIENCE,,,,,,,,,,,,"Mindless reading occurs when the eyes continue moving across the page even though the mind is thinking about something unrelated to the text. Despite how commonly it occurs, very little is known about mindless reading. The present experiment examined eye movements during mindless reading. Comparisons of fixation-duration measures collected during intervals of normal reading and intervals of mindless reading indicate that fixations during the latter were longer and less affected by lexical and linguistic variables than fixations during the former. Also, eye movements immediately preceding self-caught mind wandering were especially erratic. These results suggest that the cognitive processes that guide eye movements during normal reading are not engaged during mindless reading. We discuss the implications of these findings for theories of eye movement control in reading, for the distinction between experiential awareness and meta-awareness, and for reading comprehension.",,,,,"Reichle, Erik/0000-0003-3754-7619",,,,,,,,,,,,0956-7976,1467-9280,,,,SEP,2010,21,9,,,,,1300,1310,,10.1177/0956797610378686,,,,,,,WOS:000285454700018,20679524,,,,,Yes,English,,,,,book,
