,stimulus,trial_name,task_type,correct_answer,lang
12,"In most countries, the dispensary is subject to pharmacy legislation; with requirements for storage conditions, compulsory texts, equipment, etc., specified in legislation. Where it was once the case that pharmacists stayed within the dispensary compounding/dispensing medications, there has been an increasing trend towards the use of trained pharmacy technicians while the pharmacist spends more time communicating with patients. Pharmacy technicians are now more dependent upon automation to assist them in their new role dealing with patients' prescriptions and patient safety issues.",a_Pharmacy_2,IS,,EN
13,What does pharmacy legislation mandate?,q_after_a_Pharmacy_2_qa_4,IS,"storage conditions, compulsory texts, equipment, etc.",EN
14,"Environmentalists are concerned about loss of biodiversity that will result from destruction of the forest, and also about the release of the carbon contained within the vegetation, which could accelerate global warming. Amazonian evergreen forests account for about 10% of the world's terrestrial primary productivity and 10% of the carbon stores in ecosystems—of the order of 1.1 × 1011 metric tonnes of carbon. Amazonian forests are estimated to have accumulated 0.62 ± 0.37 tons of carbon per hectare per year between 1975 and 1996.",a_Amazonrainforest_3,IS,,EN
15,What amount of the worlds carbon is stored in the Amazon forest?,q_after_a_Amazonrainforest_3_qa_3,IS,10%,EN
16,"As previously arranged by his father, Temüjin married Börte of the Onggirat tribe when he was around 16 in order to cement alliances between their respective tribes. Soon after Börte's marriage to Temüjin, she was kidnapped by the Merkits and reportedly given away as a wife. Temüjin rescued her with the help of his friend and future rival, Jamukha, and his protector, Toghrul Khan of the Keraite tribe. She gave birth to a son, Jochi (1185–1226), nine months later, clouding the issue of his parentage. Despite speculation over Jochi, Börte would be Temüjin's only empress, though he did follow tradition by taking several morganatic wives.",a_GenghisKhan_0,IS,,EN
17,What was the name of Temüjin's wife Börte's first son?,q_after_a_GenghisKhan_0_qa_3,IS,Jochi,EN
18,"Renewed religious warfare in the 1620s caused the political and military privileges of the Huguenots to be abolished following their defeat. They retained the religious provisions of the Edict of Nantes until the rule of Louis XIV, who progressively increased persecution of them until he issued the Edict of Fontainebleau (1685), which abolished all legal recognition of Protestantism in France, and forced the Huguenots to convert. While nearly three-quarters eventually were killed  or submitted, roughly 500,000 Huguenots had fled France by the early 18th century[citation needed].",a_Huguenot_0,IS,,EN
19,What proclamation abolished protestantism in France?,q_after_a_Huguenot_0_qa_0,IS,Edict of Fontainebleau,EN
20,"The costume collection is the most comprehensive in Britain, containing over 14,000 outfits plus accessories, mainly dating from 1600 to the present. Costume sketches, design notebooks, and other works on paper are typically held by the Word and Image department. Because everyday clothing from previous eras has not generally survived, the collection is dominated by fashionable clothes made for special occasions. One of the first significant gifts of costume came in 1913 when the V&A received the Talbot Hughes collection containing 1,442 costumes and items as a gift from Harrods following its display at the nearby department store.",a_VictoriaandAlbertMuseum_2,IS,,EN
21,Approximately how many items are in the costume collection of the V&A?,q_after_a_VictoriaandAlbertMuseum_2_qa_0,IS,"over 14,000",EN
