,stimulus,trial_name,task_type,correct_answer,lang,set_name,char_count,token_count,token_avg_length,sentence_count,original_dataset,average_token_per_sentence,is_question
10,"Der Historiker Frederick W. Mote schrieb, das die Verwendung des Begriffs „soziale Klassen“ für dieses System irreführend ist und dass die Position der Personen innerhalb des Vierklassensystems kein Hinweis auf ihren tatsächlichen sozialen Einfluss und Reichtum war, sondern nur „Grade von Privilegien“ enthielt, die ihnen institutionell und rechtlich zustanden. Der Status einer Person innerhalb der Klassen war also keine Garantie ihrer Stellung, da es reiche und sozial hochstehende Chinesen gab, während es weniger reiche Mongolen und Semu als Mongolen und Semu gab, die in Armut lebten und geschunden wurden.",a_Yuandynasty_4,IS,,DE,mturk_DE_v01,613,101,5.198019801980198,2,XQuAD,50.5,False
11,Es gab viele Chinesen mit welchem unerwarteten Status?,q_after_a_Yuandynasty_4_qa_2,IS,reiche und sozial hochstehende,DE,mturk_DE_v01,54,9,5.222222222222222,1,XQuAD,9.0,True
12,"Die sechs-malige Grammy-Gewinnerin und Oscar-Nominierte Lady Gaga führte die Nationalhymne auf, während die Oscar-Gewinnerin Marlee Matlin in die Amerikanische Gebärdensprache (ASL) übersetzte.",a_SuperBowl50_3,IS,,DE,mturk_DE_v01,193,26,6.615384615384615,1,XQuAD,26.0,False
13,Was übersetzte Marlee Matlin?,q_after_a_SuperBowl50_3_qa_3,IS,die Nationalhymne,DE,mturk_DE_v01,29,5,5.2,1,XQuAD,5.0,True
14,"Das Rhein-Maas- Delta, die wichtigste Naturregion der Niederlande, beginnt bei Millingen aan de Rijn, nahe der deutsch-niederländischen Grenze an der Teilung des Rheins in Waal und Nederrijn. Da der Rhein den größten Teil des Wassers beiträgt, wird häufig die kürzere Bezeichnung Rheindelta verwendet. Dieser Name wird aber auch für das Flussdelta verwendet, in dem der Rhein in den Bodensee mündet, so dass es deutlicher ist, das größere der beiden Rhein-Maas-Delta oder auch Rhein-Maas-Schelde-Delta zu nennen, da die Schelde im gleichen Delta endet.",a_Rhine_1,IS,,DE,mturk_DE_v01,552,93,5.064516129032258,3,XQuAD,31.0,False
15,Wie lautet der Spitzname für das Delta in den Niederlanden?,q_after_a_Rhine_1_qa_2,IS,Rheindelta,DE,mturk_DE_v01,59,11,4.545454545454546,1,XQuAD,11.0,True
16,"Von 2005 bis 2014 gab es zwei Major League Soccer-Teams in Los Angeles ‐ LA Galaxy und Chivas USA ‐, die beide im StubHub Center spielten und lokale Rivalen waren. Allerdings wurden Chivas nach der MLS-Saison 2014 gesperrt und ab 2018 soll es wieder ein zweites MLS-Team geben.",a_SouthernCalifornia_4,IS,,DE,mturk_DE_v01,277,51,4.509803921568627,2,XQuAD,25.5,False
17,Für welches Jahr ist die Rückkehr der gesperrten Mannschaft geplant?,q_after_a_SouthernCalifornia_4_qa_4,IS,2018,DE,mturk_DE_v01,68,11,5.363636363636363,1,XQuAD,11.0,True
18,"In der Vergangenheit war Victoria die Heimat von Werken der großen Automarken Ford, Toyota und Holden. Allerdings werden die Schließungsankündigungen aller drei Unternehmen im 21. Jahrhundert dazu führen, dass Australien nicht länger eine Basis der weltweiten Automobilindustrie sein wird. Toyotas Erklärung vom Februar 2014 sieht als Schließungsjahr 2017 vor. Holdens Ankündigung erfolgte im Mai 2013, gefolgt von Fords Entscheidung im Dezember desselben Jahres (Fords Werke in Broadmeadows und Geelong in Victoria werden im Oktober 2016 schließen).",a_VictoriaAustralia_2,IS,,DE,mturk_DE_v01,550,85,5.588235294117647,4,XQuAD,21.25,False
19,Wann wird Toyota laut Ankündigung das Werk in Victoria schließen?,q_after_a_VictoriaAustralia_2_qa_1,IS,2017,DE,mturk_DE_v01,65,11,5.090909090909091,1,XQuAD,11.0,True
20,Wurde die Kennzeichengröße vor dem Zweiten Weltkrieg vereinheitlicht?,meco_para_12_qa_1,NR,False,DE,mturk_DE_v02,69,9,6.888888888888889,1,MECO,9.0,True
21,"Im tibetischen Buddhismus werden die Dharma-Lehrer/innen gewöhnlich als Lama bezeichnet. Ein Lama, der sich durch Phowa und Siddhi bewusst zur Wiedergeburt, häufig mehrere Male, entschlossen hat, um sein Bodhisattva-Gelübte fortsetzen zu können, wird Tulku genannt.",a_Teacher_4,NR,,DE,mturk_DE_v02,265,44,5.25,2,XQuAD,22.0,False
22,Wozu ist ein Lama entschlossen?,a_Teacher_4_qa_1,NR,Wiedergeburt,DE,mturk_DE_v02,31,6,4.5,1,XQuAD,6.0,True
23,"Es ist verlockend zu denken, dass Funktionsprobleme viel umfassender sind als Entscheidungsprobleme. Dies ist jedoch nicht der Fall, da Funktionsprobleme als Entscheidungsprobleme umformuliert werden können. So kann beispielsweise die Multiplikation zweier Integerwerte als Dreiermenge (a, b, c) ausgedrückt werden, so dass die Beziehung a × b = c gilt. Die Entscheidung, ob ein bestimmtes Tripel zu dieser Menge gehört, entspricht der Lösung des Problems der Multiplikation zweier Zahlen.",a_Computationalcomplexitytheory_2,NR,,DE,mturk_DE_v02,489,81,5.209876543209877,4,XQuAD,20.25,False
24,"Wenn zwei ganze Zahlen multipliziert werden und einen Wert ausgeben, wie heißt dann diese Ausdrucksmenge?",a_Computationalcomplexitytheory_2_qa_1,NR,Dreiermenge,DE,mturk_DE_v02,105,17,5.352941176470588,1,XQuAD,17.0,True
25,"Die Standard Industrial Classification und das neuere nordamerikanische Industry Classification System haben ein Klassifizierungssystem für Unternehmen, die Bauarbeiten ausführen oder anderweitig damit befasst sind. Um die Unterschiede der Unternehmen in diesem Sektor zu ermitteln, ist es in drei Teilsektoren unterteilt: Einfache Bauausführung, Schwermaschinen- und Tiefbau, sowie Spezialbauunternehmen. Es gibt auch Kategorien für Baudienstleistungsunternehmen (z. B. Ingenieurwesen, Architektur) und Bauleiter (Unternehmen, die Bauprojekte verwalten, ohne die direkte finanzielle Verantwortung für den Abschluss des Bauprojekts zu übernehmen).",a_Construction_2,NR,,DE,mturk_DE_v02,647,90,6.366666666666666,3,XQuAD,30.0,False
26,Wofür gibt es noch weitere Kategorien?,a_Construction_2_qa_1,NR,"Baudienstleistungsunternehmen (z. B. Ingenieurwesen, Architektur) und Bauleiter",DE,mturk_DE_v02,38,7,4.714285714285714,1,XQuAD,7.0,True
27,"In Europa gibt es für das US-amerikanische Theater des Siebenjährigen Krieges in der Regel keinen eigenständigen Namen. Der gesamte internationale Konflikt wird als Siebenjähriger Krieg bezeichnet. „Sieben Jahre“ beziehen sich auf Ereignisse in Europa, von der offiziellen Kriegserklärung im Jahr 1756 bis zur Unterzeichnung des Friedensvertrags im Jahr 1763. Diese Daten entsprechen nicht den Auseinandersetzungen auf dem nordamerikanischen Festland, wo die Schlachten zwischen den beiden Kolonialmächten in sechs Jahren, vom Gefecht von Jumonville Glen 1754 bis hin zur Eroberung von Montreal 1760 weitgehend beigelegt wurden.",a_FrenchandIndianWar_0,NR,,DE,mturk_DE_v02,628,93,5.849462365591398,3,XQuAD,31.0,False
28,Was war die erste Schlacht von 1754?,a_FrenchandIndianWar_0_qa_3,NR,Gefecht von Jumonville Glen,DE,mturk_DE_v02,36,8,3.75,1,XQuAD,8.0,True
29,"Durch die Kombination der Definition von elektrischem Strom als Zeitrate der Änderung der elektrischen Ladung beschreibt eine Regel der Vektorvervielfachung namens Lorentzkraft die Kraft auf eine sich in einem Magnetfeld bewegende Ladung. Die Verbindung zwischen Elektrizität und Magnetismus ermöglicht die Beschreibung einer einheitlichen elektromagnetischen Kraft, die auf eine Ladung wirkt. Diese Kraft kann als Summe aus der elektrostatischen Kraft (aufgrund des elektrischen Feldes) und der Magnetkraft (aufgrund des Magnetfeldes) angegeben werden. In seiner Vollständigkeit lautet das Gesetz wie folgt:",a_Force_3,IS,,DE,mturk_DE_v02,608,88,6.0227272727272725,4,XQuAD,22.0,False
30,Welche magnetische und elektrische Kraft wirkt auf eine Ladung?,q_after_a_Force_3_qa_1,IS,einheitlichen elektromagnetischen Kraft,DE,mturk_DE_v02,63,10,5.5,1,XQuAD,10.0,True
31,"Die „West Side“ von Fresno, auch oft „Southwest Fresno“ genannt, ist eines der ältesten Viertel der Stadt. Das Viertel liegt südwestlich der California State Route 99 (die es von Downtown Fresno trennt), westlich der California State Route 41 und südlich der Nielsen Ave (oder der neu errichteten California State Route 180) und erstreckt sich bis zur Stadtgrenze im Westen und Süden. Das Viertel gilt traditionell als das Zentrum von Fresnos afroamerikanischer Community. Es ist kulturell vielfältig und umfasst auch bedeutende mexikanisch-amerikanische und asiatisch-amerikanische (hauptsächlich Hmong- oder laotische) Bevölkerungsgruppen.",a_FresnoCalifornia_0,IS,,DE,mturk_DE_v02,641,105,5.276190476190476,4,XQuAD,26.25,False
32,Wie lautet ein anderer Name für die West Side von Fresno?,q_after_a_FresnoCalifornia_0_qa_0,IS,Southwest Fresno,DE,mturk_DE_v02,57,12,3.9166666666666665,1,XQuAD,12.0,True
33,"Da sowohl Präsident Kenyatta als auch Vizepräsident William Ruto 2013 Gerichtstermine vor dem Internationalen Strafgerichtshof in Verbindung mit den Auswirkungen der Wahl von 2007 hatten, entschied sich US-Präsident Barack Obama, das Land während seiner Afrikareise Mitte 2013 nicht zu besuchen. Später in diesem Sommer besuchte Kenyatta auf Einladung von Präsident Xi Jinping China, nachdem er einen Zwischenstopp in Russland eingelegt und die USA als Präsident nicht besucht hatte. Im Juli 2015 besuchte Obama Kenia als erster amerikanischer Präsident, der das Land während seiner Regierungszeit bereiste.",a_Kenya_2,IS,,DE,mturk_DE_v02,607,92,5.684782608695652,3,XQuAD,30.666666666666668,False
34,Welches Land besuchte Kenyatta auf Einladung des Präsidenten?,q_after_a_Kenya_2_qa_2,IS,China,DE,mturk_DE_v02,61,9,6.0,1,XQuAD,9.0,True
35,"Es gibt zudem mehrere kleinere Güterverkehrsunternehmen und zahlreiche Touristeneisenbahnen, die auf Strecken operieren, die früher Teil eines staatlichen Systems waren. Die Eisenbahn in Victoria fährt hauptsächlich auf der Breitspur mit 1.600 mm (5 Fuß 3 Zoll). Die Fernrouten zwischen den Staaten sowie eine Reihe von Nebenstrecken im Westen des Bundesstaates wurden jedoch auf die Normalspur von 1.435 mm (4 Fuß 8 1⁄2  Zoll) umgestellt. Zwei touristische Eisenbahnen verkehren auf 760 mm (2 Fuß 6 Zoll) breiten Schmalspurschienen, die Überreste von fünf ehemals staatseigenen Bahnen in Berggebieten sind.",a_VictoriaAustralia_3,IS,,DE,mturk_DE_v02,607,101,5.158415841584159,4,XQuAD,25.25,False
36,Wie viele Schmalspurbahnen befanden sich früher in Staatsbesitz?,q_after_a_VictoriaAustralia_3_qa_4,IS,fünf,DE,mturk_DE_v02,64,9,6.333333333333333,1,XQuAD,9.0,True
37,"Seine religiösen Ansichten bleiben aufgrund einiger anderer Aussagen jedoch ungewiss. In seinem Artikel „A Machine to End War“, der 1937 veröffentlicht wurde, sagte Tesla beispielsweise:",a_NikolaTesla_4,IS,,DE,mturk_DE_v02,186,31,5.225806451612903,2,XQuAD,15.5,False
38,Was sollte die Maschine im Titel des Artikels beenden?,q_after_a_NikolaTesla_4_qa_2,IS,War,DE,mturk_DE_v02,54,10,4.6,1,XQuAD,10.0,True
39,"In der alten römischen Religion und Mythologie ist Janus der Gott des Anfangs und der Tore. Er hat eine doppelte Natur und wird gewöhnlich mit zwei Gesichtern dargestellt, da er in die Zukunft und in die Vergangenheit blickt. Janus überwachte den Beginn und das Ende von Konflikten und damit auch Krieg und Frieden. Die Türen seines Tempels waren in Kriegszeiten geöffnet und geschlossen in Zeiten des Friedens. Als Gott der Tore wurde er außerdem mit dem Betreten und Verlassen von Haustüren in Verbindung gebracht. Janus symbolisierte häufig Veränderungen und Übergänge, wie den Wechsel von einer Bedingung zur anderen, von einer Perspektive zur anderen und das Heranwachsen junger Menschen zum Erwachsenenalter. Deswegen wurde Janus zu Beginn der Saat-und Erntezeit verehrt, genauso wie zu Hochzeiten, Todesfällen und anderen Übergänge. Für Janus war kein spezieller Priester zuständig, sondern der höchste Priester leitete die Zeremonien selbst. Janus stellte den Mittelweg zwischen Barbarei und Zivilisation, ländlichem und urbanem Leben, Jugend und Erwachsenenalter dar. Die alten Griechen hatten kein Äquivalent zu Janus, den die Römer ganz für sich beanspruchten.",meco_para_1,NR,,DE,mturk_DE_v03,1171,192,5.203125,10,MECO,19.2,False
40,War Janus ein Gott der Türen und Übergänge?,meco_para_1_qa_0,NR,True,DE,mturk_DE_v03,43,9,4.0,1,MECO,9.0,True
41,"Die Komplexitätstheorie ist ein Zweig der Berechnungstheorie in der theoretischen Informatik, der sich darauf konzentriert, Rechenprobleme nach ihrer inhärenten Schwierigkeit zu klassifizieren und diese Klassen miteinander in Beziehung zu setzen. Unter einem Rechenproblem versteht man eine Aufgabe, die grundsätzlich von einem Computer gelöst werden kann. Dies ist gleichbedeutend mit der Aussage, dass das Problem durch die mechanische Anwendung mathematischer Schritte, beispielsweise durch einen Algorithmus, gelöst werden kann.",a_Computationalcomplexitytheory_0,NR,,DE,mturk_DE_v03,532,76,6.131578947368421,3,XQuAD,25.333333333333332,False
42,Nach welchem Hauptattribut werden Rechenprobleme unter Verwendung der Komplexitätstheorie klassifiziert?,a_Computationalcomplexitytheory_0_qa_1,NR,nach ihrer inhärenten Schwierigkeit,DE,mturk_DE_v03,104,11,8.636363636363637,1,XQuAD,11.0,True
43,"Von vielen bekannten Komplexitätsklassen wird vermutet, sie seien ungleich. Dies ist jedoch nicht bewiesen. Zum Beispiel ist P ⊆ NP ⊆ PP ⊆ PSPACE, aber es ist möglich, dass P = PSPACE ist. Wenn P nicht gleich NP ist, dann ist auch P nicht gleich PSPACE. Da es viele bekannte Komplexitätsklassen, wie z.B. RP, BPP, PP, BQP, MA, PH, etc. gibt, die zwischen P und PSPACE liegen, ist es möglich, dass alle diese Komplexitätsklassen in eine Klasse zerfallen. Der Nachweis, dass eine dieser Klassen ungleich ist, wäre ein großer Durchbruch in der Komplexitätstheorie.",a_Computationalcomplexitytheory_4,NR,,DE,mturk_DE_v03,561,115,4.078260869565217,6,XQuAD,19.166666666666668,False
44,"Was ist ein Ausdruck, der verwendet werden kann, um die vermutete Ungleichheit von Komplexitätsklassen zu veranschaulichen?",a_Computationalcomplexitytheory_4_qa_1,NR,P ⊆ NP ⊆ PP ⊆ PSPACE,DE,mturk_DE_v03,123,19,5.684210526315789,1,XQuAD,19.0,True
45,"Die Harvard Business School und viele der Sportanlagen der Universität, inklusive dem Harvard Stadium, liegen auf einem 358 Acker (145 ha) großen Campus gegenüber vom Cambridge-Campus in Allston. Die John W. Weeks Bridge ist eine Fußgängerbrücke über den Charles River, welche die beiden Campus verbindet. Die Harvard Medical School, Harvard School of Dental Medicine und Harvard School of Public Health liegen auf einem 21 Acker (8,5 ha) großen Campus in der Longwood Medical and Academic Area, ungefähr 3,3 Meilen (5,3 km) südwestlich der Innenstadt von Boston und 3,3 Meilen (5,3 km) südlich des Cambridge-Campus.",a_HarvardUniversity_1,NR,,DE,mturk_DE_v03,616,110,4.754545454545455,3,XQuAD,36.666666666666664,False
46,Wo liegt das Harvard Stadium?,a_HarvardUniversity_1_qa_0,NR,Allston,DE,mturk_DE_v03,29,6,4.166666666666667,1,XQuAD,6.0,True
47,"Zu den professionellen Sportmannschaften in Südkalifornien gehören Mannschaften in der NFL (Los Angeles Rams, San Diego Chargers), NBA (Los Angeles Lakers, Los Angeles Clippers), MLB (Los Angeles Dodgers, Los Angeles Angels of Anaheim, San Diego Padres), NHL (Los Angeles Kings, Anaheim Ducks) und MLS (LA Galaxy).",a_SouthernCalifornia_3,NR,,DE,mturk_DE_v03,314,65,4.138461538461539,1,XQuAD,65.0,False
48,Die Los Angeles Rams sind ein Beispiel für welche Art von Sportmannschaft?,a_SouthernCalifornia_3_qa_0,NR,NFL,DE,mturk_DE_v03,74,13,4.846153846153846,1,XQuAD,13.0,True
49,"Luthers Schriften waren weit verbreitet und erreichten bereits 1519 Frankreich, England und Italien. Studenten strömten nach Wittenberg, um Luther sprechen zu hören. Er veröffentlichte einen kurzen Kommentar über die Galater und sein Werk über die Psalmen. Dieser frühe Abschnitt von Luthers Karriere war einer seiner kreativsten und produktivsten. Drei seiner bekanntesten Werke wurden im Jahr 1520 veröffentlicht: An den christlichen Adel deutscher Nation, Von der babylonischen Gefangenschaft der Kirche und Von der Freiheit eines Christenmenschen.",a_MartinLuther_0,IS,,DE,mturk_DE_v03,551,84,5.678571428571429,5,XQuAD,16.8,False
50,Welcher Abschnitt von Luthers Karriere war einer seiner produktivsten?,q_after_a_MartinLuther_0_qa_2,IS,frühe,DE,mturk_DE_v03,70,10,6.2,1,XQuAD,10.0,True
51,"Später wurde ein Stück Papier entdeckt, auf dem Luther seine letzte Schrift verfasst hatte. Der Text war in Lateinisch geschrieben, abgesehen von den Worten „Wir sind Bettler”, welche er auf Deutsch niederschrieb.",a_MartinLuther_4,IS,,DE,mturk_DE_v03,213,39,4.666666666666667,2,XQuAD,19.5,False
52,In welcher Sprache war der größte Teil der Erklärung verfasst?,q_after_a_MartinLuther_4_qa_1,IS,Lateinisch,DE,mturk_DE_v03,62,11,4.818181818181818,1,XQuAD,11.0,True
53,"Bei der Betrachtung von Rechenproblemen stellt ein String in einem Alphabet eine Probleminstanz dar. Normalerweise wird das binäre Alphabet (d.h. die Menge {0,1}) als Alphabet angenommen, woraus folgt, dass die Strings Bitketten sind. Wie in einem realen Computer müssen mathematische Objekte, die keine Bitketten sind, entsprechend kodiert werden. So können beispielsweise ganze Zahlen in binärer Notation dargestellt und Graphen direkt über ihre Adjazenzmatrizen oder durch Kodierung der Adjazenzlisten in binärer Form kodiert werden.",a_Computationalcomplexitytheory_1,IS,,DE,mturk_DE_v03,536,85,5.458823529411765,4,XQuAD,21.25,False
54,Als was kann ein String in einem Alphabet bei der Betrachtung von Rechenproblemen beschrieben werden?,q_after_a_Computationalcomplexitytheory_1_qa_0,IS,Probleminstanz,DE,mturk_DE_v03,101,16,5.4375,1,XQuAD,16.0,True
55,"Ihre lokalen Rivalen, Polonia Warschau, haben deutlich weniger Anhänger. Dennoch gelang es ihnen, die Ekstraklasa-Meisterschaft im Jahr 2000 zu gewinnen. Sie gewannen auch die Landesmeisterschaft von 1946 und holten zwei Mal den Pokal. Das Heimstadion Polonias befindet sich in der Konwiktorska-Straße, zehn Gehminuten nördlich der Altstadt. Polonia wurde 2013 wegen seiner katastrophalen finanziellen Situation aus der Spitzengruppe des Landes verwiesen. Sie spielen nun in der vierten Liga (5. Rang in Polen) – der untersten Profiliga in der Struktur des Polnischen Fußballverbandes (PZPN).",a_Warsaw_1,IS,,DE,mturk_DE_v03,592,96,5.322916666666667,6,XQuAD,16.0,False
56,Wer gewann 2000 die Ekstraklasa-Meisterschaft?,q_after_a_Warsaw_1_qa_0,IS,Polonia Warschau,DE,mturk_DE_v03,46,6,7.0,1,XQuAD,6.0,True
57,"Im Jahr 1973 ernannte Nixon William E. Simon zum ersten Direktor des Federal Energy Office (Bundesamt für Energie), einer zeitlich befristeten Organisation, die geschaffen wurde, um die Reaktion auf das Embargo zu koordinieren. Simon teilte den Staaten für 1974 die gleiche Menge an inländischem Öl zu, die sie jeweils im Jahr 1972 verbraucht hatten. Das funktionierte für Staaten, deren Bevölkerung nicht wuchs. In anderen Staaten waren Schlangen an Tankstellen alltäglich. Die American Automobile Association (AAA, Automobilklub der USA) berichtete, dass in der letzten Februarwoche 1974 20 % der Tankstellen in den USA über kein Benzin verfügten.",a_1973oilcrisis_2,IS,,DE,mturk_DE_v03,649,112,4.946428571428571,5,XQuAD,22.4,False
58,Wann wurde er von Nixon ausgewählt?,q_after_a_1973oilcrisis_2_qa_1,IS,1973,DE,mturk_DE_v03,35,7,4.285714285714286,1,XQuAD,7.0,True
59,"Nachdem er Edisons Firma verlassen hatte, verbündete sich Tesla 1886 mit zwei Geschäftsleuten, Robert Lane und Benjamin Vail, die sich bereit erklärten, ein Elektrikunternehmen in Teslas Namen, Tesla Electric Light & Manufacturing zu finanzieren. Das Unternehmen installierte Lichtbogenbeleuchtungssysteme, die von Tesla entworfen wurden, und besaß auch Entwürfe für Lichtmaschinenkommutatoren, die ersten Patente, die Tesla in den USA angemeldet hatte.",a_NikolaTesla_1,NR,,DE,mturk_DE_v04,453,70,5.642857142857143,2,XQuAD,35.0,False
60,"Wann entstand die Partnerschaft zwischen Tesla, Lane und Vail?",a_NikolaTesla_1_qa_6,NR,1886,DE,mturk_DE_v04,62,11,4.909090909090909,1,XQuAD,11.0,True
61,"Zu den bedeutenden Alumni in den Wirtschaftswissenschaften zählen Microsofts CEO Satya Nadella, der Gründer der Oracle Corporation und der drittreichste Mann in Amerika Larry Ellison, der CEO von Goldman Sachs und MF Global sowie frühere Gouverneur von New Jersey Jon Corzine, der Gründer von McKinsey & Company und Autor des ersten Lehrbuchs für internes Rechnungswesen James O. McKinsey, Arley D. Cathey, Daniel Doctoroff, CEO von Bloomberg L.P., Brady Dougan, CEO von Credit Suisse, Joe Mansueto, Gründer und CEO von Morningstar, Inc., Thomas S. Ricketts, Eigentümer und Vorsitzender der Chicago Cubs, und NBA-Commissioner Adam Silver.",a_UniversityofChicago_3,NR,,DE,mturk_DE_v04,638,109,5.0,1,XQuAD,109.0,False
62,Wer ist der drittreichste Mann in Amerika?,a_UniversityofChicago_3_qa_2,NR,Larry Ellison,DE,mturk_DE_v04,42,8,4.5,1,XQuAD,8.0,True
63,"Die Bedürfnisse der Sojabauern wurden genutzt, um viele der umstrittenen Transportprojekte zu rechtfertigen, die derzeit im Amazonasgebiet entstehen. Die ersten beiden Autobahnen erschlossen den Regenwald erfolgreich und führten zu mehr Siedlungen und mehr Rodungen. Die durchschnittliche jährliche Abholzungsrate war von 2000 bis 2005 (22.392 km2 oder 8.646 Quadratmeilen pro Jahr) 18% höher als in den letzten fünf Jahren (19.018 km2 oder 7.343 Quadratmeilen pro Jahr). Obwohl die Waldrodung im brasilianischen Amazonasgebiet zwischen 2004 und 2014 deutlich zurückgegangen ist, ist sie insgesamt bis heute gestiegen.",a_Amazonrainforest_2,NR,,DE,mturk_DE_v04,618,96,5.572916666666667,4,XQuAD,24.0,False
64,Wozu führte der Bau von Autobahnen im Amazonas-Regenwald?,a_Amazonrainforest_2_qa_1,NR,zu mehr Siedlungen und mehr Rodungen,DE,mturk_DE_v04,57,9,5.555555555555555,1,XQuAD,9.0,True
