,stimulus,trial_name,task_type,correct_answer,lang,set_name
10,"Der Historiker Frederick W. Mote schrieb, das die Verwendung des Begriffs „soziale Klassen“ für dieses System irreführend ist und dass die Position der Personen innerhalb des Vierklassensystems kein Hinweis auf ihren tatsächlichen sozialen Einfluss und Reichtum war, sondern nur „Grade von Privilegien“ enthielt, die ihnen institutionell und rechtlich zustanden. Der Status einer Person innerhalb der Klassen war also keine Garantie ihrer Stellung, da es reiche und sozial hochstehende Chinesen gab, während es weniger reiche Mongolen und Semu als Mongolen und Semu gab, die in Armut lebten und geschunden wurden.",a_Yuandynasty_4,IS,,DE,mturk_DE_v01
11,Es gab viele Chinesen mit welchem unerwarteten Status?,q_after_a_Yuandynasty_4_qa_2,IS,reiche und sozial hochstehende,DE,mturk_DE_v01
12,"Die sechs-malige Grammy-Gewinnerin und Oscar-Nominierte Lady Gaga führte die Nationalhymne auf, während die Oscar-Gewinnerin Marlee Matlin in die Amerikanische Gebärdensprache (ASL) übersetzte.",a_SuperBowl50_3,IS,,DE,mturk_DE_v01
13,Was übersetzte Marlee Matlin?,q_after_a_SuperBowl50_3_qa_3,IS,die Nationalhymne,DE,mturk_DE_v01
14,"Das Rhein-Maas- Delta, die wichtigste Naturregion der Niederlande, beginnt bei Millingen aan de Rijn, nahe der deutsch-niederländischen Grenze an der Teilung des Rheins in Waal und Nederrijn. Da der Rhein den größten Teil des Wassers beiträgt, wird häufig die kürzere Bezeichnung Rheindelta verwendet. Dieser Name wird aber auch für das Flussdelta verwendet, in dem der Rhein in den Bodensee mündet, so dass es deutlicher ist, das größere der beiden Rhein-Maas-Delta oder auch Rhein-Maas-Schelde-Delta zu nennen, da die Schelde im gleichen Delta endet.",a_Rhine_1,IS,,DE,mturk_DE_v01
15,Wie lautet der Spitzname für das Delta in den Niederlanden?,q_after_a_Rhine_1_qa_2,IS,Rheindelta,DE,mturk_DE_v01
16,"Von 2005 bis 2014 gab es zwei Major League Soccer-Teams in Los Angeles ‐ LA Galaxy und Chivas USA ‐, die beide im StubHub Center spielten und lokale Rivalen waren. Allerdings wurden Chivas nach der MLS-Saison 2014 gesperrt und ab 2018 soll es wieder ein zweites MLS-Team geben.",a_SouthernCalifornia_4,IS,,DE,mturk_DE_v01
17,Für welches Jahr ist die Rückkehr der gesperrten Mannschaft geplant?,q_after_a_SouthernCalifornia_4_qa_4,IS,2018,DE,mturk_DE_v01
18,"In der Vergangenheit war Victoria die Heimat von Werken der großen Automarken Ford, Toyota und Holden. Allerdings werden die Schließungsankündigungen aller drei Unternehmen im 21. Jahrhundert dazu führen, dass Australien nicht länger eine Basis der weltweiten Automobilindustrie sein wird. Toyotas Erklärung vom Februar 2014 sieht als Schließungsjahr 2017 vor. Holdens Ankündigung erfolgte im Mai 2013, gefolgt von Fords Entscheidung im Dezember desselben Jahres (Fords Werke in Broadmeadows und Geelong in Victoria werden im Oktober 2016 schließen).",a_VictoriaAustralia_2,IS,,DE,mturk_DE_v01
19,Wann wird Toyota laut Ankündigung das Werk in Victoria schließen?,q_after_a_VictoriaAustralia_2_qa_1,IS,2017,DE,mturk_DE_v01
20,"Ein Fahrzeugkennzeichen ist ein Metall- oder Kunststoffschild, das zur amtlichen Identifizierung an einem Fahrzeug angebracht ist. In allen Ländern sind solche Kennzeichen für Straßenfahrzeuge wie Autos, Lastwagen und Motorräder erforderlich. Ob sie für andere Fahrzeuge wie Fahrräder, Boote oder Traktoren erforderlich sind, kann je nach Rechtssprechung variieren. Die Registrierungskennung besteht aus einer Reihe von Buchstaben und Ziffern, die den Fahrzeughalter eindeutig im Fahrzeugregister der ausstellenden Behörde identifiziert. In einigen Ländern ist die Kennung innerhalb des gesamten Landes einzigartig, während sie dies in anderen Ländern nur innerhalb eines Staates oder einer Provinz ist. Frankreich war das erste Land, das Ende des 19. Jahrhunderts das Kennzeichen einführte. Die Kennzeichen des frühen zwanzigsten Jahrhunderts variierten in Größe und Form je nach regionaler Rechtssprechung, so dass bei einem Umzug zusätzliche Löcher in das Auto gebohrt werden mussten, um das neue Kennzeichen anbringen zu können. Die Standardisierung der Platten erfolgte erst Ende der fünfziger Jahre, als sich die Automobilhersteller mit Regierungen und internationalen Organisationen einigten.",meco_para_12,NR,,DE,mturk_DE_v02
21,Wurde die Kennzeichengröße vor dem Zweiten Weltkrieg vereinheitlicht?,meco_para_12_qa_1,NR,False,DE,mturk_DE_v02
22,"Im tibetischen Buddhismus werden die Dharma-Lehrer/innen gewöhnlich als Lama bezeichnet. Ein Lama, der sich durch Phowa und Siddhi bewusst zur Wiedergeburt, häufig mehrere Male, entschlossen hat, um sein Bodhisattva-Gelübte fortsetzen zu können, wird Tulku genannt.",a_Teacher_4,NR,,DE,mturk_DE_v02
23,Wozu ist ein Lama entschlossen?,a_Teacher_4_qa_1,NR,Wiedergeburt,DE,mturk_DE_v02
24,"Es ist verlockend zu denken, dass Funktionsprobleme viel umfassender sind als Entscheidungsprobleme. Dies ist jedoch nicht der Fall, da Funktionsprobleme als Entscheidungsprobleme umformuliert werden können. So kann beispielsweise die Multiplikation zweier Integerwerte als Dreiermenge (a, b, c) ausgedrückt werden, so dass die Beziehung a × b = c gilt. Die Entscheidung, ob ein bestimmtes Tripel zu dieser Menge gehört, entspricht der Lösung des Problems der Multiplikation zweier Zahlen.",a_Computationalcomplexitytheory_2,NR,,DE,mturk_DE_v02
25,"Wenn zwei ganze Zahlen multipliziert werden und einen Wert ausgeben, wie heißt dann diese Ausdrucksmenge?",a_Computationalcomplexitytheory_2_qa_1,NR,Dreiermenge,DE,mturk_DE_v02
26,"Die Standard Industrial Classification und das neuere nordamerikanische Industry Classification System haben ein Klassifizierungssystem für Unternehmen, die Bauarbeiten ausführen oder anderweitig damit befasst sind. Um die Unterschiede der Unternehmen in diesem Sektor zu ermitteln, ist es in drei Teilsektoren unterteilt: Einfache Bauausführung, Schwermaschinen- und Tiefbau, sowie Spezialbauunternehmen. Es gibt auch Kategorien für Baudienstleistungsunternehmen (z. B. Ingenieurwesen, Architektur) und Bauleiter (Unternehmen, die Bauprojekte verwalten, ohne die direkte finanzielle Verantwortung für den Abschluss des Bauprojekts zu übernehmen).",a_Construction_2,NR,,DE,mturk_DE_v02
27,Wofür gibt es noch weitere Kategorien?,a_Construction_2_qa_1,NR,"Baudienstleistungsunternehmen (z. B. Ingenieurwesen, Architektur) und Bauleiter",DE,mturk_DE_v02
28,"In Europa gibt es für das US-amerikanische Theater des Siebenjährigen Krieges in der Regel keinen eigenständigen Namen. Der gesamte internationale Konflikt wird als Siebenjähriger Krieg bezeichnet. „Sieben Jahre“ beziehen sich auf Ereignisse in Europa, von der offiziellen Kriegserklärung im Jahr 1756 bis zur Unterzeichnung des Friedensvertrags im Jahr 1763. Diese Daten entsprechen nicht den Auseinandersetzungen auf dem nordamerikanischen Festland, wo die Schlachten zwischen den beiden Kolonialmächten in sechs Jahren, vom Gefecht von Jumonville Glen 1754 bis hin zur Eroberung von Montreal 1760 weitgehend beigelegt wurden.",a_FrenchandIndianWar_0,NR,,DE,mturk_DE_v02
29,Was war die erste Schlacht von 1754?,a_FrenchandIndianWar_0_qa_3,NR,Gefecht von Jumonville Glen,DE,mturk_DE_v02
30,"Durch die Kombination der Definition von elektrischem Strom als Zeitrate der Änderung der elektrischen Ladung beschreibt eine Regel der Vektorvervielfachung namens Lorentzkraft die Kraft auf eine sich in einem Magnetfeld bewegende Ladung. Die Verbindung zwischen Elektrizität und Magnetismus ermöglicht die Beschreibung einer einheitlichen elektromagnetischen Kraft, die auf eine Ladung wirkt. Diese Kraft kann als Summe aus der elektrostatischen Kraft (aufgrund des elektrischen Feldes) und der Magnetkraft (aufgrund des Magnetfeldes) angegeben werden. In seiner Vollständigkeit lautet das Gesetz wie folgt:",a_Force_3,IS,,DE,mturk_DE_v02
31,Welche magnetische und elektrische Kraft wirkt auf eine Ladung?,q_after_a_Force_3_qa_1,IS,einheitlichen elektromagnetischen Kraft,DE,mturk_DE_v02
32,"Die „West Side“ von Fresno, auch oft „Southwest Fresno“ genannt, ist eines der ältesten Viertel der Stadt. Das Viertel liegt südwestlich der California State Route 99 (die es von Downtown Fresno trennt), westlich der California State Route 41 und südlich der Nielsen Ave (oder der neu errichteten California State Route 180) und erstreckt sich bis zur Stadtgrenze im Westen und Süden. Das Viertel gilt traditionell als das Zentrum von Fresnos afroamerikanischer Community. Es ist kulturell vielfältig und umfasst auch bedeutende mexikanisch-amerikanische und asiatisch-amerikanische (hauptsächlich Hmong- oder laotische) Bevölkerungsgruppen.",a_FresnoCalifornia_0,IS,,DE,mturk_DE_v02
33,Wie lautet ein anderer Name für die West Side von Fresno?,q_after_a_FresnoCalifornia_0_qa_0,IS,Southwest Fresno,DE,mturk_DE_v02
34,"Da sowohl Präsident Kenyatta als auch Vizepräsident William Ruto 2013 Gerichtstermine vor dem Internationalen Strafgerichtshof in Verbindung mit den Auswirkungen der Wahl von 2007 hatten, entschied sich US-Präsident Barack Obama, das Land während seiner Afrikareise Mitte 2013 nicht zu besuchen. Später in diesem Sommer besuchte Kenyatta auf Einladung von Präsident Xi Jinping China, nachdem er einen Zwischenstopp in Russland eingelegt und die USA als Präsident nicht besucht hatte. Im Juli 2015 besuchte Obama Kenia als erster amerikanischer Präsident, der das Land während seiner Regierungszeit bereiste.",a_Kenya_2,IS,,DE,mturk_DE_v02
35,Welches Land besuchte Kenyatta auf Einladung des Präsidenten?,q_after_a_Kenya_2_qa_2,IS,China,DE,mturk_DE_v02
36,"Es gibt zudem mehrere kleinere Güterverkehrsunternehmen und zahlreiche Touristeneisenbahnen, die auf Strecken operieren, die früher Teil eines staatlichen Systems waren. Die Eisenbahn in Victoria fährt hauptsächlich auf der Breitspur mit 1.600 mm (5 Fuß 3 Zoll). Die Fernrouten zwischen den Staaten sowie eine Reihe von Nebenstrecken im Westen des Bundesstaates wurden jedoch auf die Normalspur von 1.435 mm (4 Fuß 8 1⁄2  Zoll) umgestellt. Zwei touristische Eisenbahnen verkehren auf 760 mm (2 Fuß 6 Zoll) breiten Schmalspurschienen, die Überreste von fünf ehemals staatseigenen Bahnen in Berggebieten sind.",a_VictoriaAustralia_3,IS,,DE,mturk_DE_v02
37,Wie viele Schmalspurbahnen befanden sich früher in Staatsbesitz?,q_after_a_VictoriaAustralia_3_qa_4,IS,fünf,DE,mturk_DE_v02
38,"Seine religiösen Ansichten bleiben aufgrund einiger anderer Aussagen jedoch ungewiss. In seinem Artikel „A Machine to End War“, der 1937 veröffentlicht wurde, sagte Tesla beispielsweise:",a_NikolaTesla_4,IS,,DE,mturk_DE_v02
39,Was sollte die Maschine im Titel des Artikels beenden?,q_after_a_NikolaTesla_4_qa_2,IS,War,DE,mturk_DE_v02
40,"In der alten römischen Religion und Mythologie ist Janus der Gott des Anfangs und der Tore. Er hat eine doppelte Natur und wird gewöhnlich mit zwei Gesichtern dargestellt, da er in die Zukunft und in die Vergangenheit blickt. Janus überwachte den Beginn und das Ende von Konflikten und damit auch Krieg und Frieden. Die Türen seines Tempels waren in Kriegszeiten geöffnet und geschlossen in Zeiten des Friedens. Als Gott der Tore wurde er außerdem mit dem Betreten und Verlassen von Haustüren in Verbindung gebracht. Janus symbolisierte häufig Veränderungen und Übergänge, wie den Wechsel von einer Bedingung zur anderen, von einer Perspektive zur anderen und das Heranwachsen junger Menschen zum Erwachsenenalter. Deswegen wurde Janus zu Beginn der Saat-und Erntezeit verehrt, genauso wie zu Hochzeiten, Todesfällen und anderen Übergänge. Für Janus war kein spezieller Priester zuständig, sondern der höchste Priester leitete die Zeremonien selbst. Janus stellte den Mittelweg zwischen Barbarei und Zivilisation, ländlichem und urbanem Leben, Jugend und Erwachsenenalter dar. Die alten Griechen hatten kein Äquivalent zu Janus, den die Römer ganz für sich beanspruchten.",meco_para_1,NR,,DE,mturk_DE_v03
41,War Janus ein Gott der Türen und Übergänge?,meco_para_1_qa_0,NR,True,DE,mturk_DE_v03
42,"Die Komplexitätstheorie ist ein Zweig der Berechnungstheorie in der theoretischen Informatik, der sich darauf konzentriert, Rechenprobleme nach ihrer inhärenten Schwierigkeit zu klassifizieren und diese Klassen miteinander in Beziehung zu setzen. Unter einem Rechenproblem versteht man eine Aufgabe, die grundsätzlich von einem Computer gelöst werden kann. Dies ist gleichbedeutend mit der Aussage, dass das Problem durch die mechanische Anwendung mathematischer Schritte, beispielsweise durch einen Algorithmus, gelöst werden kann.",a_Computationalcomplexitytheory_0,NR,,DE,mturk_DE_v03
43,Nach welchem Hauptattribut werden Rechenprobleme unter Verwendung der Komplexitätstheorie klassifiziert?,a_Computationalcomplexitytheory_0_qa_1,NR,nach ihrer inhärenten Schwierigkeit,DE,mturk_DE_v03
44,"Von vielen bekannten Komplexitätsklassen wird vermutet, sie seien ungleich. Dies ist jedoch nicht bewiesen. Zum Beispiel ist P ⊆ NP ⊆ PP ⊆ PSPACE, aber es ist möglich, dass P = PSPACE ist. Wenn P nicht gleich NP ist, dann ist auch P nicht gleich PSPACE. Da es viele bekannte Komplexitätsklassen, wie z.B. RP, BPP, PP, BQP, MA, PH, etc. gibt, die zwischen P und PSPACE liegen, ist es möglich, dass alle diese Komplexitätsklassen in eine Klasse zerfallen. Der Nachweis, dass eine dieser Klassen ungleich ist, wäre ein großer Durchbruch in der Komplexitätstheorie.",a_Computationalcomplexitytheory_4,NR,,DE,mturk_DE_v03
45,"Was ist ein Ausdruck, der verwendet werden kann, um die vermutete Ungleichheit von Komplexitätsklassen zu veranschaulichen?",a_Computationalcomplexitytheory_4_qa_1,NR,P ⊆ NP ⊆ PP ⊆ PSPACE,DE,mturk_DE_v03
46,"Die Harvard Business School und viele der Sportanlagen der Universität, inklusive dem Harvard Stadium, liegen auf einem 358 Acker (145 ha) großen Campus gegenüber vom Cambridge-Campus in Allston. Die John W. Weeks Bridge ist eine Fußgängerbrücke über den Charles River, welche die beiden Campus verbindet. Die Harvard Medical School, Harvard School of Dental Medicine und Harvard School of Public Health liegen auf einem 21 Acker (8,5 ha) großen Campus in der Longwood Medical and Academic Area, ungefähr 3,3 Meilen (5,3 km) südwestlich der Innenstadt von Boston und 3,3 Meilen (5,3 km) südlich des Cambridge-Campus.",a_HarvardUniversity_1,NR,,DE,mturk_DE_v03
47,Wo liegt das Harvard Stadium?,a_HarvardUniversity_1_qa_0,NR,Allston,DE,mturk_DE_v03
48,"Zu den professionellen Sportmannschaften in Südkalifornien gehören Mannschaften in der NFL (Los Angeles Rams, San Diego Chargers), NBA (Los Angeles Lakers, Los Angeles Clippers), MLB (Los Angeles Dodgers, Los Angeles Angels of Anaheim, San Diego Padres), NHL (Los Angeles Kings, Anaheim Ducks) und MLS (LA Galaxy).",a_SouthernCalifornia_3,NR,,DE,mturk_DE_v03
49,Die Los Angeles Rams sind ein Beispiel für welche Art von Sportmannschaft?,a_SouthernCalifornia_3_qa_0,NR,NFL,DE,mturk_DE_v03
50,"Luthers Schriften waren weit verbreitet und erreichten bereits 1519 Frankreich, England und Italien. Studenten strömten nach Wittenberg, um Luther sprechen zu hören. Er veröffentlichte einen kurzen Kommentar über die Galater und sein Werk über die Psalmen. Dieser frühe Abschnitt von Luthers Karriere war einer seiner kreativsten und produktivsten. Drei seiner bekanntesten Werke wurden im Jahr 1520 veröffentlicht: An den christlichen Adel deutscher Nation, Von der babylonischen Gefangenschaft der Kirche und Von der Freiheit eines Christenmenschen.",a_MartinLuther_0,IS,,DE,mturk_DE_v03
51,Welcher Abschnitt von Luthers Karriere war einer seiner produktivsten?,q_after_a_MartinLuther_0_qa_2,IS,frühe,DE,mturk_DE_v03
52,"Später wurde ein Stück Papier entdeckt, auf dem Luther seine letzte Schrift verfasst hatte. Der Text war in Lateinisch geschrieben, abgesehen von den Worten „Wir sind Bettler”, welche er auf Deutsch niederschrieb.",a_MartinLuther_4,IS,,DE,mturk_DE_v03
53,In welcher Sprache war der größte Teil der Erklärung verfasst?,q_after_a_MartinLuther_4_qa_1,IS,Lateinisch,DE,mturk_DE_v03
54,"Bei der Betrachtung von Rechenproblemen stellt ein String in einem Alphabet eine Probleminstanz dar. Normalerweise wird das binäre Alphabet (d.h. die Menge {0,1}) als Alphabet angenommen, woraus folgt, dass die Strings Bitketten sind. Wie in einem realen Computer müssen mathematische Objekte, die keine Bitketten sind, entsprechend kodiert werden. So können beispielsweise ganze Zahlen in binärer Notation dargestellt und Graphen direkt über ihre Adjazenzmatrizen oder durch Kodierung der Adjazenzlisten in binärer Form kodiert werden.",a_Computationalcomplexitytheory_1,IS,,DE,mturk_DE_v03
55,Als was kann ein String in einem Alphabet bei der Betrachtung von Rechenproblemen beschrieben werden?,q_after_a_Computationalcomplexitytheory_1_qa_0,IS,Probleminstanz,DE,mturk_DE_v03
56,"Ihre lokalen Rivalen, Polonia Warschau, haben deutlich weniger Anhänger. Dennoch gelang es ihnen, die Ekstraklasa-Meisterschaft im Jahr 2000 zu gewinnen. Sie gewannen auch die Landesmeisterschaft von 1946 und holten zwei Mal den Pokal. Das Heimstadion Polonias befindet sich in der Konwiktorska-Straße, zehn Gehminuten nördlich der Altstadt. Polonia wurde 2013 wegen seiner katastrophalen finanziellen Situation aus der Spitzengruppe des Landes verwiesen. Sie spielen nun in der vierten Liga (5. Rang in Polen) – der untersten Profiliga in der Struktur des Polnischen Fußballverbandes (PZPN).",a_Warsaw_1,IS,,DE,mturk_DE_v03
57,Wer gewann 2000 die Ekstraklasa-Meisterschaft?,q_after_a_Warsaw_1_qa_0,IS,Polonia Warschau,DE,mturk_DE_v03
58,"Im Jahr 1973 ernannte Nixon William E. Simon zum ersten Direktor des Federal Energy Office (Bundesamt für Energie), einer zeitlich befristeten Organisation, die geschaffen wurde, um die Reaktion auf das Embargo zu koordinieren. Simon teilte den Staaten für 1974 die gleiche Menge an inländischem Öl zu, die sie jeweils im Jahr 1972 verbraucht hatten. Das funktionierte für Staaten, deren Bevölkerung nicht wuchs. In anderen Staaten waren Schlangen an Tankstellen alltäglich. Die American Automobile Association (AAA, Automobilklub der USA) berichtete, dass in der letzten Februarwoche 1974 20 % der Tankstellen in den USA über kein Benzin verfügten.",a_1973oilcrisis_2,IS,,DE,mturk_DE_v03
59,Wann wurde er von Nixon ausgewählt?,q_after_a_1973oilcrisis_2_qa_1,IS,1973,DE,mturk_DE_v03
60,"Ein Fahrzeugkennzeichen ist ein Metall- oder Kunststoffschild, das zur amtlichen Identifizierung an einem Fahrzeug angebracht ist. In allen Ländern sind solche Kennzeichen für Straßenfahrzeuge wie Autos, Lastwagen und Motorräder erforderlich. Ob sie für andere Fahrzeuge wie Fahrräder, Boote oder Traktoren erforderlich sind, kann je nach Rechtssprechung variieren. Die Registrierungskennung besteht aus einer Reihe von Buchstaben und Ziffern, die den Fahrzeughalter eindeutig im Fahrzeugregister der ausstellenden Behörde identifiziert. In einigen Ländern ist die Kennung innerhalb des gesamten Landes einzigartig, während sie dies in anderen Ländern nur innerhalb eines Staates oder einer Provinz ist. Frankreich war das erste Land, das Ende des 19. Jahrhunderts das Kennzeichen einführte. Die Kennzeichen des frühen zwanzigsten Jahrhunderts variierten in Größe und Form je nach regionaler Rechtssprechung, so dass bei einem Umzug zusätzliche Löcher in das Auto gebohrt werden mussten, um das neue Kennzeichen anbringen zu können. Die Standardisierung der Platten erfolgte erst Ende der fünfziger Jahre, als sich die Automobilhersteller mit Regierungen und internationalen Organisationen einigten.",meco_para_12,NR,,DE,mturk_DE_v04
61,Wurde die Kennzeichengröße vor dem Zweiten Weltkrieg vereinheitlicht?,meco_para_12_qa_1,NR,False,DE,mturk_DE_v04
62,"Nachdem er Edisons Firma verlassen hatte, verbündete sich Tesla 1886 mit zwei Geschäftsleuten, Robert Lane und Benjamin Vail, die sich bereit erklärten, ein Elektrikunternehmen in Teslas Namen, Tesla Electric Light & Manufacturing zu finanzieren. Das Unternehmen installierte Lichtbogenbeleuchtungssysteme, die von Tesla entworfen wurden, und besaß auch Entwürfe für Lichtmaschinenkommutatoren, die ersten Patente, die Tesla in den USA angemeldet hatte.",a_NikolaTesla_1,NR,,DE,mturk_DE_v04
63,"Wann entstand die Partnerschaft zwischen Tesla, Lane und Vail?",a_NikolaTesla_1_qa_6,NR,1886,DE,mturk_DE_v04
64,"Zu den bedeutenden Alumni in den Wirtschaftswissenschaften zählen Microsofts CEO Satya Nadella, der Gründer der Oracle Corporation und der drittreichste Mann in Amerika Larry Ellison, der CEO von Goldman Sachs und MF Global sowie frühere Gouverneur von New Jersey Jon Corzine, der Gründer von McKinsey & Company und Autor des ersten Lehrbuchs für internes Rechnungswesen James O. McKinsey, Arley D. Cathey, Daniel Doctoroff, CEO von Bloomberg L.P., Brady Dougan, CEO von Credit Suisse, Joe Mansueto, Gründer und CEO von Morningstar, Inc., Thomas S. Ricketts, Eigentümer und Vorsitzender der Chicago Cubs, und NBA-Commissioner Adam Silver.",a_UniversityofChicago_3,NR,,DE,mturk_DE_v04
65,Wer ist der drittreichste Mann in Amerika?,a_UniversityofChicago_3_qa_2,NR,Larry Ellison,DE,mturk_DE_v04
66,"Die Bedürfnisse der Sojabauern wurden genutzt, um viele der umstrittenen Transportprojekte zu rechtfertigen, die derzeit im Amazonasgebiet entstehen. Die ersten beiden Autobahnen erschlossen den Regenwald erfolgreich und führten zu mehr Siedlungen und mehr Rodungen. Die durchschnittliche jährliche Abholzungsrate war von 2000 bis 2005 (22.392 km2 oder 8.646 Quadratmeilen pro Jahr) 18% höher als in den letzten fünf Jahren (19.018 km2 oder 7.343 Quadratmeilen pro Jahr). Obwohl die Waldrodung im brasilianischen Amazonasgebiet zwischen 2004 und 2014 deutlich zurückgegangen ist, ist sie insgesamt bis heute gestiegen.",a_Amazonrainforest_2,NR,,DE,mturk_DE_v04
67,Wozu führte der Bau von Autobahnen im Amazonas-Regenwald?,a_Amazonrainforest_2_qa_1,NR,zu mehr Siedlungen und mehr Rodungen,DE,mturk_DE_v04
68,"Warschau war während seiner gesamten Existenz eine multikulturelle Stadt. Laut der Volkszählung von 1901 waren von 711.988 Einwohnern 56,2% Katholiken, 35,7% Juden, 5% griechisch-orthodoxe Christen und 2,8% Protestanten. Acht Jahre später, im Jahr 1909, gab es 281.754 Juden (36,9%), 18.189 Protestanten (2,4%) und 2.818 Mariaviten (0,4%). Dies führte zum Bau von Hunderten von religiösen Kultstätten in allen Teilen der Stadt. Die meisten von ihnen wurden nach dem Warschauer Aufstand von 1944 zerstört. Nach dem Krieg rieten die neuen kommunistischen Behörden Polens vom Kirchenbau ab und nur wenige wurden wiederaufgebaut.",a_Warsaw_2,NR,,DE,mturk_DE_v04
69,Wann wurden die meisten religiösen Kultstätten in Warschau zerstört?,a_Warsaw_2_qa_4,NR,1944,DE,mturk_DE_v04
70,"Die Broncos besiegten die Pittsburgh Steelers in der Divisional Round, 23-16, indem sie in den letzten drei Minuten des Spiels 11 Punkte erzielten. Sie schlugen daraufhin im AFC-Championship-Spiel den verteidigenden Super Bowl XLIX-Champion, die New England Patriots, 20-18, indem sie bei nur 17 Sekunden verbleibender Spielzeit New Englands Versuch, eine 2-Point Conversion zu erzielen, abfingen. Trotz Mannings Problemen mit Interceptions während der Saison verfehlte er in den beiden Playoff-Spielen keine einzige.",a_SuperBowl50_1,IS,,DE,mturk_DE_v04
71,Wen schlugen die Broncos in der Divisional Round?,q_after_a_SuperBowl50_1_qa_10,IS,die Pittsburgh Steelers,DE,mturk_DE_v04
