"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_os","subject_screen_width","subject_screen_height","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_name","webgazer_data","webgazer_targets","correct_answer","question_text"
"773","
<p class=""webgaze-experiment"" id=""paragraph"">Οι περιβαλλοντολόγοι ανησυχούν για την απώλεια της <span id=""a_Amazonrainforest_3_qa_0"">βιοποικιλότητας</span> που θα προκύψει ως αποτέλεσμα της <span id=""a_Amazonrainforest_3_qa_1"">καταστροφής του δάσους</span>, καθώς και για την απελευθέρωση <span id=""a_Amazonrainforest_3_qa_2"">άνθρακα που εμπεριέχεται στη βλάστηση</span>, η οποία θα μπορούσε να επιταχύνει την παγκόσμια υπερθέρμανση. Τα αειθαλή δάση του Αμαζονίου αντιπροσωπεύουν περίπου το 10% της παγκόσμιας πρωτογενούς παραγωγικότητας και <span id=""a_Amazonrainforest_3_qa_3"">10%</span> των αποθεμάτων άνθρακα σε οικοσυστήματα - της τάξης <span id=""a_Amazonrainforest_3_qa_4"">1,1 × 1011</span> μετρικοί τόνοι άνθρακα. Στα δάση του Αμαζονίου εκτιμάται ότι συσσωρεύτηκαν 0,62 ± 0,37 τόνοι άνθρακα ανά εκτάριο κάθε χρόνο, μεταξύ του 1975 και του 1996.</p>"," ","html-keyboard-response","10","352212","0.0-10.0","Win32","1280","720","","","","","","","","","","","","a_Amazonrainforest_3","[]","{""#paragraph"":{""x"":50,""y"":28.5,""width"":1180,""height"":688,""top"":28.5,""right"":1230,""bottom"":716.5,""left"":50},""#a_Amazonrainforest_3_qa_0"":{""x"":870.433349609375,""y"":68,""width"":187.5500030517578,""height"":33,""top"":68,""right"":1057.9833526611328,""bottom"":101,""left"":870.433349609375},""#a_Amazonrainforest_3_qa_1"":{""x"":508.2166748046875,""y"":140,""width"":338.98333740234375,""height"":33,""top"":140,""right"":847.2000122070312,""bottom"":173,""left"":508.2166748046875},""#a_Amazonrainforest_3_qa_2"":{""x"":269.98333740234375,""y"":212,""width"":567.433349609375,""height"":33,""top"":212,""right"":837.4166870117188,""bottom"":245,""left"":269.98333740234375},""#a_Amazonrainforest_3_qa_3"":{""x"":136.6666717529297,""y"":428,""width"":47.26666259765625,""height"":33,""top"":428,""right"":183.93333435058594,""bottom"":461,""left"":136.6666717529297},""#a_Amazonrainforest_3_qa_4"":{""x"":70,""y"":428,""width"":1067.949951171875,""height"":105,""top"":428,""right"":1137.949951171875,""bottom"":533,""left"":70}}","",""
"1298","","{""Q0"":""1""}","survey-text","11","353515","0.0-11.0","Win32","1280","720","","","","","","","","","","","","a_Amazonrainforest_3_qa_4","[]","{""#question"":{""x"":50,""y"":251.6999969482422,""width"":1180,""height"":184,""top"":251.6999969482422,""right"":1230,""bottom"":435.6999969482422,""left"":50}}","1,1 × 1011","Πόσοι μετρικοί τόνοι άνθρακα πιστεύεται ότι είναι αποθηκευμένοι στο δάσος του Αμαζονίου;"
"892","
<p class=""webgaze-experiment"" id=""paragraph"">Αυτοί οι χλωροπλάστες, οι οποίοι μπορούν να ανιχνευθούν κατευθείαν σε έναν κυανοβακτηριακό πρόγονο, είναι γνωστοί ως πρωτογενείς πλαστίδες («πλαστίδιο» σε αυτό το πλαίσιο σημαίνει σχεδόν το ίδιο πράγμα με τον <span id=""a_Chloroplast_1_qa_0"">χλωροπλάστη</span>). Όλοι οι πρωτογενείς χλωροπλάστες ανήκουν σε μία από τις <span id=""a_Chloroplast_1_qa_1"">τρεις</span> γενεαλογικές σειρές χλωροπλάστη, τη γενεαλογική σειρά των χλωροπλάστων γλαυκωφωτών, τη ροδοφυτική ή τη <span id=""a_Chloroplast_1_qa_2"">γενεαλογική σειρά χλωροπλάστου κόκκινου φυλλώματος</span> ή τη χλωροπλαστιδάνη ή τη <span id=""a_Chloroplast_1_qa_3"">γενεαλογική σειρά πράσινου χλωροπλάστη</span>. Τα δεύτερα είναι τα μεγαλύτερα, και <span id=""a_Chloroplast_1_qa_4"">η γενεαλογική σειρά πράσινου χλωροπλάστη</span> είναι εκείνη που περιέχει τα φυτά γης.</p>"," ","html-keyboard-response","12","354409","0.0-12.0","Win32","1280","720","","","","","","","","","","","","a_Chloroplast_1","[]","{""#paragraph"":{""x"":50,""y"":28.5,""width"":1180,""height"":688,""top"":28.5,""right"":1230,""bottom"":716.5,""left"":50},""#a_Chloroplast_1_qa_0"":{""x"":70,""y"":284,""width"":157.23333740234375,""height"":33,""top"":284,""right"":227.23333740234375,""bottom"":317,""left"":70},""#a_Chloroplast_1_qa_1"":{""x"":70,""y"":356,""width"":56.98333740234375,""height"":33,""top"":356,""right"":126.98333740234375,""bottom"":389,""left"":70},""#a_Chloroplast_1_qa_2"":{""x"":70,""y"":428,""width"":1098.9166259765625,""height"":105,""top"":428,""right"":1168.9166259765625,""bottom"":533,""left"":70},""#a_Chloroplast_1_qa_3"":{""x"":70,""y"":500,""width"":992.7166748046875,""height"":105,""top"":500,""right"":1062.7166748046875,""bottom"":605,""left"":70},""#a_Chloroplast_1_qa_4"":{""x"":70,""y"":572,""width"":1036.6500244140625,""height"":105,""top"":572,""right"":1106.6500244140625,""bottom"":677,""left"":70}}","",""
"1359","","{""Q0"":""1""}","survey-text","13","355771","0.0-13.0","Win32","1280","720","","","","","","","","","","","","q_after_a_Chloroplast_1_qa_3","[]","{""#question"":{""x"":208.8000030517578,""y"":287.70001220703125,""width"":862.4000244140625,""height"":112,""top"":287.70001220703125,""right"":1071.2000274658203,""bottom"":399.70001220703125,""left"":208.8000030517578}}","γενεαλογική σειρά πράσινου χλωροπλάστη","Τι σημαίνει χλωροπλαστιδά;"
"1063","
<p class=""webgaze-experiment"" id=""paragraph"">Η Victoria έχει ένα γραπτό σύνταγμα που θεσπίστηκε το <span id=""a_VictoriaAustralia_1_qa_0"">1975</span>, αλλά με βάση το <span id=""a_VictoriaAustralia_1_qa_1"">αποικιακό σύνταγμα του 1855</span>, που εγκρίθηκε από το βρετανικό κοινοβούλιο ως <span id=""a_VictoriaAustralia_1_qa_4"">Νομοθεσία της Victoria 1855</span>, που θεσπίζει το Κοινοβούλιο ως νομοθέτη του κράτους για θέματα που εμπίπτουν στην αρμοδιότητα του κράτους. Το Βικτοριανό Σύνταγμα μπορεί να τροποποιηθεί από τη <span id=""a_VictoriaAustralia_1_qa_2"">Βουλή της Victoria</span>, με εξαίρεση ορισμένες <span id=""a_VictoriaAustralia_1_qa_3"">«καθιερωμένες» διατάξεις</span> οι οποίες απαιτούν απόλυτη πλειοψηφία και στα δύο κοινοβούλια, με πλειοψηφία τριών πέμπτων και στα δύο κοινοβούλια, ή την έγκριση του βικτωριανού λαού με δημοψήφισμα, ανάλογα με τη διάταξη.</p>"," ","html-keyboard-response","14","356835","0.0-14.0","Win32","1280","720","","","","","","","","","","","","a_VictoriaAustralia_1","[]","{""#paragraph"":{""x"":50,""y"":28.5,""width"":1180,""height"":688,""top"":28.5,""right"":1230,""bottom"":716.5,""left"":50},""#a_VictoriaAustralia_1_qa_0"":{""x"":928.4000244140625,""y"":68,""width"":54.866668701171875,""height"":33,""top"":68,""right"":983.2666931152344,""bottom"":101,""left"":928.4000244140625},""#a_VictoriaAustralia_1_qa_1"":{""x"":217.36666870117188,""y"":140,""width"":414.41668701171875,""height"":33,""top"":140,""right"":631.7833557128906,""bottom"":173,""left"":217.36666870117188},""#a_VictoriaAustralia_1_qa_2"":{""x"":70,""y"":356,""width"":1119.8499755859375,""height"":105,""top"":356,""right"":1189.8499755859375,""bottom"":461,""left"":70},""#a_VictoriaAustralia_1_qa_3"":{""x"":526.5333251953125,""y"":428,""width"":317.26666259765625,""height"":33,""top"":428,""right"":843.7999877929688,""bottom"":461,""left"":526.5333251953125},""#a_VictoriaAustralia_1_qa_4"":{""x"":304.7833251953125,""y"":212,""width"":395.2166748046875,""height"":33,""top"":212,""right"":700,""bottom"":245,""left"":304.7833251953125}}","",""
"1642","","{""Q0"":""1""}","survey-text","15","358480","0.0-15.0","Win32","1280","720","","","","","","","","","","","","q_after_a_VictoriaAustralia_1_qa_0","[]","{""#question"":{""x"":208.8000030517578,""y"":287.70001220703125,""width"":862.4000244140625,""height"":112,""top"":287.70001220703125,""right"":1071.2000274658203,""bottom"":399.70001220703125,""left"":208.8000030517578}}","1975","Πότε έλαβε η Victoria το σύνταγμά της;"
"811","
<p class=""webgaze-experiment"" id=""paragraph"">Οι ύμνοι του Λούθερ είχαν πολλές φορές εμπνευστεί από συγκεκριμένα γεγονότα <span id=""a_MartinLuther_3_qa_0"">στη ζωή του</span> και την Μεταρρύθμιση που εξελίσσονταν. Αυτή η συμπεριφορά ξεκίνησε με την εκμάθηση της εκτέλεσης του Johann Esch και του Heinrich Voes, των πρώτων ατόμων που έγιναν μάρτυρες από τη Ρωμαιοκαθολική Εκκλησία <span id=""a_MartinLuther_3_qa_1"">για τις Λουθηρανικές απόψεις</span>, παρακινώντας τον Λούθερ να γράψει τον ύμνο «<span id=""a_MartinLuther_3_qa_2"">Ein neues Lied wir heben a</span>», ο οποίος είναι γενικά γνωστός στα αγγλικά με την μετάφραση του <span id=""a_MartinLuther_3_qa_3"">John C. Messenger</span> με τον τίτλο και την πρώτη γραμμή «<span id=""a_MartinLuther_3_qa_4"">Πέταξα στους αδιάφορους ανέμους</span>» και τραγουδούσε το τραγούδι Ibstone που συνέθεσε το 1875 η Maria C. Tiddeman.</p>"," ","html-keyboard-response","16","359293","0.0-16.0","Win32","1280","720","","","","","","","","","","","","a_MartinLuther_3","[]","{""#paragraph"":{""x"":50,""y"":24,""width"":1180,""height"":760,""top"":24,""right"":1230,""bottom"":784,""left"":50},""#a_MartinLuther_3_qa_0"":{""x"":205.10000610351562,""y"":135.5,""width"":188.46665954589844,""height"":33,""top"":135.5,""right"":393.56666564941406,""bottom"":168.5,""left"":205.10000610351562},""#a_MartinLuther_3_qa_1"":{""x"":425.41668701171875,""y"":351.5,""width"":412.2166748046875,""height"":33,""top"":351.5,""right"":837.6333618164062,""bottom"":384.5,""left"":425.41668701171875},""#a_MartinLuther_3_qa_2"":{""x"":524.066650390625,""y"":423.5,""width"":423.7833251953125,""height"":33,""top"":423.5,""right"":947.8499755859375,""bottom"":456.5,""left"":524.066650390625},""#a_MartinLuther_3_qa_3"":{""x"":849.8499755859375,""y"":495.5,""width"":256.6666564941406,""height"":33,""top"":495.5,""right"":1106.5166320800781,""bottom"":528.5,""left"":849.8499755859375},""#a_MartinLuther_3_qa_4"":{""x"":601.11669921875,""y"":567.5,""width"":474.58331298828125,""height"":33,""top"":567.5,""right"":1075.7000122070312,""bottom"":600.5,""left"":601.11669921875}}","",""
"1417","","{""Q0"":""1""}","survey-text","17","360713","0.0-17.0","Win32","1280","720","","","","","","","","","","","","q_after_a_MartinLuther_3_qa_1","[]","{""#question"":{""x"":50,""y"":251.6999969482422,""width"":1180,""height"":184,""top"":251.6999969482422,""right"":1230,""bottom"":435.6999969482422,""left"":50}}","για τις Λουθηρανικές απόψεις","Γιατί ο Johann Esch και ο Heinrich Voes εκτελέστηκαν από την Καθολική Εκκλησία;"
"772","
<p class=""webgaze-experiment"" id=""paragraph""><span id=""a_Construction_0_qa_0"">Κατασκευή</span> είναι η διαδικασία κατασκευής ενός κτιρίου ή υποδομής. Η κατασκευή διαφέρει από την παραγωγή στο ότι η <span id=""a_Construction_0_qa_1"">παραγωγή</span> συνήθως περιλαμβάνει τη μαζική παραγωγή παρόμοιων αντικειμένων χωρίς προκαθορισμένο αγοραστή, ενώ η κατασκευή συνήθως πραγματοποιείται επιτόπου για <span id=""a_Construction_0_qa_4"">έναν γνωστό πελάτη</span>. Η κατασκευή ως βιομηχανία αποτελεί το <span id=""a_Construction_0_qa_2"">έξι έως εννέα τοις εκατό</span> του ακαθάριστου εγχώριου προϊόντος των ανεπτυγμένων χωρών. Η κατασκευή αρχίζει με <span id=""a_Construction_0_qa_3"">προγραμματισμό, σχεδιασμό και χρηματοδότηση</span> και συνεχίζεται μέχρι να κατασκευαστεί το έργο και να είναι έτοιμο προς χρήση.</p>"," ","html-keyboard-response","18","361488","0.0-18.0","Win32","1280","720","","","","","","","","","","","","a_Construction_0","[]","{""#paragraph"":{""x"":50,""y"":64.5,""width"":1180,""height"":616,""top"":64.5,""right"":1230,""bottom"":680.5,""left"":50},""#a_Construction_0_qa_0"":{""x"":70,""y"":104,""width"":123.5,""height"":33,""top"":104,""right"":193.5,""bottom"":137,""left"":70},""#a_Construction_0_qa_1"":{""x"":831.2999877929688,""y"":176,""width"":117.19999694824219,""height"":33,""top"":176,""right"":948.4999847412109,""bottom"":209,""left"":831.2999877929688},""#a_Construction_0_qa_2"":{""x"":70,""y"":392,""width"":1122.2833251953125,""height"":105,""top"":392,""right"":1192.2833251953125,""bottom"":497,""left"":70},""#a_Construction_0_qa_3"":{""x"":392.8999938964844,""y"":536,""width"":631.1666870117188,""height"":33,""top"":536,""right"":1024.0666809082031,""bottom"":569,""left"":392.8999938964844},""#a_Construction_0_qa_4"":{""x"":70,""y"":320,""width"":1044.933349609375,""height"":105,""top"":320,""right"":1114.933349609375,""bottom"":425,""left"":70}}","",""
"1229","","{""Q0"":""1""}","survey-text","19","362721","0.0-19.0","Win32","1280","720","","","","","","","","","","","","q_after_a_Construction_0_qa_2","[]","{""#question"":{""x"":63.56666564941406,""y"":287.70001220703125,""width"":1152.8499755859375,""height"":112,""top"":287.70001220703125,""right"":1216.4166412353516,""bottom"":399.70001220703125,""left"":63.56666564941406}}","έξι έως εννέα τοις εκατό","Τι ποσοστό του ακαθάριστου εγχώριου προϊόντος αντιπροσωπεύει η κατασκευή;"
